#
%Time%Gated%Ungated
@ ns@ @ 
0 7 3
10 2 2
20 2 1
30 1 0
40 2 2
50 3 1
60 2 2
70 4 1
80 1 1
90 4 0
100 6 0
110 9 0
120 4 2
130 1 0
140 3 2
150 2 0
160 2 0
170 2 2
180 3 0
190 2 0
200 3 0
210 3 1
220 2 2
230 5 1
240 7 3
250 4 1
260 1 0
270 1 0
280 1 0
290 3 0
300 3 1
310 1 1
320 3 0
330 6 0
340 4 3
350 4 1
360 5 1
370 3 2
380 5 3
390 5 1
400 4 0
410 7 0
420 5 1
430 3 1
440 3 0
450 5 0
460 0 3
470 3 1
480 2 0
490 3 1
500 5 1
510 6 1
520 4 2
530 5 0
540 4 2
550 2 2
560 3 2
570 4 1
580 3 0
590 3 1
600 3 4
610 3 0
620 4 1
630 5 1
640 2 0
650 4 2
660 2 0
670 2 1
680 4 0
690 1 1
700 2 1
710 1 0
720 2 0
730 3 1
740 1 3
750 2 0
760 3 2
770 3 0
780 2 0
790 1 1
800 4 1
810 4 1
820 3 1
830 1 1
840 1 1
850 4 0
860 4 0
870 5 0
880 0 0
890 2 2
900 3 1
910 8 1
920 6 0
930 2 0
940 3 0
950 3 0
960 3 1
970 3 0
980 1 0
990 4 2
1000 5 3
1010 1 0
1020 3 1
1030 2 0
1040 2 0
1050 2 0
1060 0 0
1070 1 0
1080 3 2
1090 0 0
1100 3 1
1110 0 1
1120 0 1
1130 0 1
1140 3 2
1150 4 2
1160 4 2
1170 2 0
1180 0 0
1190 0 0
1200 2 0
1210 3 3
1220 6 1
1230 2 1
1240 2 0
1250 2 0
1260 2 1
1270 1 1
1280 4 1
1290 3 0
1300 2 1
1310 1 2
1320 3 1
1330 0 0
1340 1 1
1350 1 3
1360 1 0
1370 3 2
1380 3 0
1390 1 0
1400 2 0
1410 0 0
1420 3 0
1430 4 1
1440 5 0
1450 1 2
1460 4 0
1470 4 0
1480 3 0
1490 2 2
1500 1 1
1510 0 1
1520 2 1
1530 0 0
1540 4 1
1550 4 0
1560 2 0
1570 1 0
1580 2 1
1590 3 0
1600 0 0
1610 1 1
1620 6 1
1630 1 2
1640 2 0
1650 1 1
1660 2 0
1670 1 1
1680 2 0
1690 1 0
1700 3 2
1710 3 0
1720 3 0
1730 1 0
1740 0 1
1750 1 1
1760 3 1
1770 2 3
1780 4 3
1790 3 0
1800 2 1
1810 1 1
1820 1 0
1830 4 1
1840 3 1
1850 2 0
1860 2 1
1870 6 1
1880 1 0
1890 2 1
1900 1 0
1910 2 0
1920 4 1
1930 5 1
1940 3 1
1950 5 2
1960 3 0
1970 1 1
1980 1 0
1990 3 0
2000 0 0
2010 1 0
2020 0 1
2030 2 0
2040 4 0
2050 1 2
2060 3 1
2070 2 2
2080 4 2
2090 1 0
2100 3 1
2110 3 0
2120 3 0
2130 4 0
2140 3 2
2150 3 0
2160 2 1
2170 6 0
2180 3 0
2190 1 0
2200 1 2
2210 1 0
2220 0 3
2230 0 0
2240 3 1
2250 3 0
2260 2 2
2270 1 0
2280 1 0
2290 1 3
2300 2 0
2310 3 0
2320 3 1
2330 2 0
2340 2 0
2350 1 1
2360 2 0
2370 0 1
2380 1 0
2390 4 0
2400 1 1
2410 3 1
2420 2 1
2430 2 0
2440 2 0
2450 4 1
2460 1 0
2470 1 1
2480 3 0
2490 4 0
2500 1 0
2510 0 1
2520 0 0
2530 1 6
2540 2 1
2550 0 2
2560 4 0
2570 1 1
2580 2 0
2590 2 0
2600 2 0
2610 3 0
2620 4 1
2630 1 1
2640 3 0
2650 0 0
2660 2 0
2670 1 1
2680 2 1
2690 1 0
2700 3 0
2710 3 2
2720 2 0
2730 2 1
2740 1 0
2750 0 1
2760 1 0
2770 4 0
2780 1 0
2790 1 0
2800 2 1
2810 1 0
2820 3 1
2830 0 0
2840 2 1
2850 3 1
2860 0 2
2870 1 1
2880 3 1
2890 1 0
2900 2 0
2910 0 0
2920 3 2
2930 3 1
2940 0 0
2950 2 0
2960 1 1
2970 1 0
2980 2 0
2990 3 0
3000 1 0
3010 2 0
3020 1 1
3030 2 1
3040 1 2
3050 3 2
3060 0 0
3070 3 1
3080 1 0
3090 2 0
3100 3 0
3110 0 2
3120 5 0
3130 3 1
3140 0 2
